Symbol,Company Name,Sector,Current Price,Daily Change %,Market Cap (Cr),P/E Ratio,52W High,52W Low,Volume
ADANIENT,Adani Enterprises Limited,Energy,2228.0,2.03100769993616,257562.3520256,47.882755,3743.9,2025.0,20939196
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,1136.75,1.9826829140881939,245985.5224832,23.947811,1621.4,795.55,27086168
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,6935.10009765625,2.8565086786243974,99240.4045824,83.630196,7545.0,5284.85,498633
ASIANPAINT,Asian Paints Limited,Basic Materials,2472.199951171875,1.814140419650619,237426.704384,51.765877,3422.95,2422.95,3805843
AXISBANK,Axis Bank Limited,Financial Services,1142.4000244140625,0.28530043719848774,353497.8809856,12.716338,1339.65,995.7,16687505
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,9481.650390625,-0.24565606917411892,264401.453056,36.049343,12774.0,5912.0,619823
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,1600.8499755859375,2.0136992567110084,255397.9076608,30.30475,2029.9,1419.05,2082813
BAJFINANCE,Bajaj Finance Limited,Financial Services,6683.9501953125,3.3763085887099726,415717.9953152,27.027027,7830.0,6187.8,969855
BPCL,Bharat Petroleum Corporation Limited,Energy,285.8500061035156,1.2216757371092137,124081.3797376,9.306867,376.0,205.3,6539977
BHARTIARTL,Bharti Airtel Limited,Communication Services,1569.300048828125,2.8947987874848056,937791.848448,75.73154,1779.0,960.0,7640321
BRITANNIA,Britannia Industries Limited,Consumer Defensive,4848.35009765625,0.936846140404326,116819.7812224,54.665806,6469.9,4626.0,410476
CIPLA,Cipla Limited,Healthcare,1486.5,1.4329580348004094,119950.5801216,26.785393,1702.05,1188.0,704859
COALINDIA,Coal India Limited,Energy,414.04998779296875,1.982755614031712,255198.6520064,7.0725875,543.55,332.8,8155453
DIVISLAB,Divi's Laboratories Limited,Healthcare,5998.35009765625,0.3555235758613543,159281.3944832,86.98173,6275.85,3350.0,309695
