Symbol,Company Name,Series,Listing Date,Paid Up Value,Market Lot,ISIN,Face Value,Sector,Industry,Current Price,Daily Change %,Weekly Change %,Monthly Change %,Volume,Market Cap (Cr),P/E Ratio,52W High,52W Low
RENUKA,Shree Renuka Sugars Limited,EQ,31-OCT-2005,1,1,INE087H01022,1,Consumer Defensive,Confectioners,39.2599983215332,2.34618794802306,-1.4063319376765446,-3.490663650417694,6759518.0,8382.0101632,N/A,56.5,36.55
REPCOHOME,Repco Home Finance Limited,EQ,01-APR-2013,10,1,INE612J01015,10,Financial Services,Mortgage Finance,448.3999938964844,1.6434319619873345,-3.1219643548626266,-10.23023145215528,53527.0,2809.3206528,6.2573223,595.0,366.5
REPL,Rudrabhishek Enterprises Limited,EQ,14-DEC-2020,10,1,INE364Z01019,10,Industrials,Consulting Services,186.19000244140625,1.3775447723236844,-1.570100001693987,-6.121110914923385,6761.0,327.7732608,25.26738,238.95,162.05
REPRO,Repro India Limited,EQ,22-DEC-2005,10,1,INE461B01014,10,Industrials,Specialty Business Services,521.7000122070312,1.3698605768056218,-3.101785187548194,-2.567933455323851,5966.0,733.8089472,273.0053,980.0,471.55
RESPONIND,Responsive Industries Limited,EQ,29-OCT-2010,1,1,INE688D01026,1,Basic Materials,Specialty Chemicals,255.0,1.6138685399518515,-2.130104798691732,-5.485540571753299,614173.0,6795.8632448,36.207386,339.45,249.0
RETAIL,JHS Svendgaard Retail Ventures Limited,BE,26-JUN-2024,10,1,INE03DD01011,10,N/A,N/A,40.25,-4.052445129968415,0.07458671901141868,-17.095776246119403,7491.0,26.6363376,N/A,57.0,35.0
REVATHIEQU,Revathi Equipment India Limited,BE,11-SEP-2024,10,1,INE0DAB01012,10,Industrials,Farm & Heavy Construction Machinery,1898.050048828125,-3.089019861208012,-5.09749755859375,-18.780885834703543,1438.0,604.9561088,22.84987,3670.0,1875.0
RGL,Renaissance Global Limited,EQ,12-DEC-2007,2,1,INE722H01024,2,Consumer Cyclical,Luxury Goods,174.08999633789062,0.9158900245585933,-0.9219795766183361,-0.00574943439062744,577952.0,1669.1216384,22.529259,195.7,87.4
RHIM,RHI MAGNESITA INDIA LIMITED,EQ,12-MAR-2012,1,1,INE743M01012,1,Industrials,Metal Fabrication,510.1499938964844,2.2754623859827645,-3.8178788811234523,-11.692923123279918,254793.0,10628.6063616,N/A,824.0,490.0
RHL,Robust Hotels Limited,EQ,25-APR-2023,10,1,INE508K01013,10,Consumer Cyclical,Lodging,196.75999450683594,3.5415438461141915,4.293432994538509,-4.965223682696773,3980.0,340.3871232,41.52954,238.18,99.7
RICOAUTO,Rico Auto Industries Limited,EQ,12-MAY-2003,1,1,INE209B01025,1,Consumer Cyclical,Auto Parts,85.55000305175781,1.7846519280627546,0.7537385019970665,-9.48047707327036,227876.0,1164.268032,30.17544,157.0,82.1
RIIL,Reliance Industrial Infrastructure Limited,EQ,29-NOV-1995,10,1,INE046A01015,10,Industrials,Engineering & Construction,1031.199951171875,3.5289356768921776,1.2618427744885927,-9.392850075321922,118953.0,1552.8050688,115.93011,1605.0,992.1
RISHABH,Rishabh Instruments Limited,EQ,11-SEP-2023,10,1,INE0N2P01017,10,Technology,Scientific & Technical Instruments,324.95001220703125,0.18498723361334987,0.9318216761149982,-4.144539171967183,14802.0,1245.936128,69.21444,635.4,318.05
RITCO,Ritco Logistics Limited,EQ,12-APR-2022,10,1,INE01EG01016,10,Industrials,Integrated Freight & Logistics,397.54998779296875,1.28662109375,7.562224358195774,10.185698792508713,56534.0,1116.7679488,27.40097,424.0,189.15
RITES,RITES Limited,EQ,02-JUL-2018,10,1,INE320J01015,10,Industrials,Engineering & Construction,275.25,0.5846907141247265,2.7627379980811013,-4.482548568920804,450939.0,13255.057408,33.268997,412.975,230.85
RKDL,Ravi Kumar Distilleries Limited,BE,27-DEC-2010,10,1,INE722J01012,10,Consumer Defensive,Beverages - Wineries & Distilleries,26.1200008392334,0.7327440486751247,2.1909287362747945,11.815069164248188,2873.0,62.688,N/A,38.69,18.5
RKEC,RKEC Projects Limited,EQ,18-DEC-2020,10,1,INE786W01010,10,Industrials,Engineering & Construction,101.69999694824219,-1.3865997704449544,-3.902489663947633,-16.54357751611307,105211.0,244.872064,12.268029,148.5,68.25
RKFORGE,Ramkrishna Forgings Limited,EQ,05-MAY-2004,2,1,INE399G01023,2,Industrials,Tools & Accessories,963.5,-0.015568350569359537,4.410491194779073,1.6504204626509023,254292.0,17334.9257216,46.086018,1064.05,602.05
RKSWAMY,R K Swamy Limited,EQ,12-MAR-2024,5,1,INE0NQ801033,5,Communication Services,Advertising Agencies,203.94000244140625,-0.5655795356358555,-0.1762117498649078,-10.7913031376932,76428.0,1029.734912,29.868229,320.7,195.0
RML,Rane (Madras) Limited,EQ,30-AUG-2005,10,1,INE050H01012,10,Consumer Cyclical,Auto Parts,805.2999877929688,1.5830952750512457,-1.4622223563207404,-18.168884486203794,9450.0,1318.7127296,526.7974,1529.0,631.0
ROHLTD,Royal Orchid Hotels Limited,EQ,06-FEB-2006,10,1,INE283H01019,10,Consumer Cyclical,Lodging,309.95001220703125,-0.11278620680159443,-0.7842451143788886,-0.28952674242015924,52045.0,849.6326656,17.592276,449.0,297.85
ROLEXRINGS,Rolex Rings Limited,EQ,09-AUG-2021,10,1,INE645S01016,10,Industrials,Metal Fabrication,1993.75,-0.8922777555081522,1.4166526903746388,-7.183261344972099,9277.0,5424.873472,34.451748,2794.0,1720.0
ROLLT,Rollatainers Limited,BE,22-NOV-2016,1,1,INE927A01040,1,Real Estate,Real Estate Services,2.25,-0.44247745599357413,-5.063286555002263,11.386139665604956,25059.0,57.2798208,N/A,4.91,1.2
ROML,Raj Oil Mills Limited,EQ,06-OCT-2020,10,1,INE294G01026,10,Consumer Defensive,Packaged Foods,49.91999816894531,0.0601298449867277,0.9708728874782327,5.583755198412673,3829.0,73.4446272,113.95348,83.2,41.0
ROSSARI,Rossari Biotech Limited,EQ,23-JUL-2020,2,1,INE02A801020,2,Basic Materials,Specialty Chemicals,775.2999877929688,1.2074930027281572,-0.6853310002916302,-1.5429581847372038,20491.0,4293.4165504,30.910542,972.7,656.95
